clinic_code,vaccination_season,vaccination_coverage,stat_area_id,SubDistrictCode,subdist
5532,2012,0.12269938650306747,8400214,44.0,Rehovot
5532,2013,0.13420245398773006,8400214,44.0,Rehovot
5532,2014,0.16487730061349692,8400214,44.0,Rehovot
5532,2015,0.2124233128834356,8400214,44.0,Rehovot
5532,2016,0.2093558282208589,8400214,44.0,Rehovot
5532,2017,0.18634969325153372,8400214,44.0,Rehovot
5533,2008,0.10341415141019296,6200114,51.0,Tel Aviv
5533,2009,0.15437902028698666,6200114,51.0,Tel Aviv
5533,2010,0.1850569025235032,6200114,51.0,Tel Aviv
5533,2011,0.15685304304799605,6200114,51.0,Tel Aviv
5533,2012,0.16378030677882235,6200114,51.0,Tel Aviv
5533,2013,0.2003958436417615,6200114,51.0,Tel Aviv
5533,2014,0.21177634834240475,6200114,51.0,Tel Aviv
5533,2015,0.24888668975754574,6200114,51.0,Tel Aviv
5533,2016,0.2503711034141514,6200114,51.0,Tel Aviv
5533,2017,0.23156853043047995,6200114,51.0,Tel Aviv
5534,2008,0.05438066465256797,281,44.0,Rehovot
5534,2009,0.08006042296072508,281,44.0,Rehovot
5534,2010,0.13746223564954682,281,44.0,Rehovot
5534,2011,0.09818731117824774,281,44.0,Rehovot
5534,2012,0.11178247734138973,281,44.0,Rehovot
5534,2013,0.1419939577039275,281,44.0,Rehovot
5534,2014,0.15256797583081572,281,44.0,Rehovot
5534,2015,0.23867069486404835,281,44.0,Rehovot
5534,2016,0.21450151057401806,281,44.0,Rehovot
5534,2017,0.21299093655589124,281,44.0,Rehovot
5535,2008,0.022116903633491312,70211,61.0,Ashkelon
5535,2009,0.053185887309110065,70211,61.0,Ashkelon
5535,2010,0.12480252764612955,70211,61.0,Ashkelon
5535,2011,0.07266982622432859,70211,61.0,Ashkelon
5535,2012,0.07688256977356503,70211,61.0,Ashkelon
5535,2013,0.0984728804634018,70211,61.0,Ashkelon
5535,2014,0.0832016850974197,70211,61.0,Ashkelon
5535,2015,0.14586624539231174,70211,61.0,Ashkelon
5535,2016,0.12796208530805686,70211,61.0,Ashkelon
5535,2017,0.16377040547656666,70211,61.0,Ashkelon
6116,2008,0.09006622516556291,650053,32.0,Hadera
6116,2009,0.1251655629139073,650053,32.0,Hadera
6116,2010,0.1629139072847682,650053,32.0,Hadera
6116,2011,0.13311258278145696,650053,32.0,Hadera
6116,2012,0.12582781456953646,650053,32.0,Hadera
6116,2013,0.14437086092715232,650053,32.0,Hadera
6116,2014,0.14834437086092714,650053,32.0,Hadera
6116,2015,0.209271523178808,650053,32.0,Hadera
6116,2016,0.1986754966887417,650053,32.0,Hadera
6116,2017,0.19205298013245034,650053,32.0,Hadera
6602,2008,0.07142857142857142,1682,41.0,Sharon
6602,2009,0.10075187969924812,1682,41.0,Sharon
6602,2010,0.14285714285714285,1682,41.0,Sharon
6602,2011,0.12781954887218044,1682,41.0,Sharon
6602,2012,0.1330827067669173,1682,41.0,Sharon
6602,2013,0.1263157894736842,1682,41.0,Sharon
6602,2014,0.16090225563909774,1682,41.0,Sharon
6602,2015,0.18421052631578946,1682,41.0,Sharon
6602,2016,0.181203007518797,1682,41.0,Sharon
6602,2017,0.17293233082706766,1682,41.0,Sharon
6603,2008,0.1152,10203,32.0,Hadera
6603,2009,0.1472,10203,32.0,Hadera
6603,2010,0.2032,10203,32.0,Hadera
6603,2011,0.1856,10203,32.0,Hadera
6603,2012,0.1712,10203,32.0,Hadera
6603,2013,0.1984,10203,32.0,Hadera
6603,2014,0.2128,10203,32.0,Hadera
6603,2015,0.2576,10203,32.0,Hadera
6603,2016,0.2224,10203,32.0,Hadera
6603,2017,0.2112,10203,32.0,Hadera
6604,2008,0.05583333333333333,78007,32.0,Hadera
6604,2009,0.07083333333333333,78007,32.0,Hadera
6604,2010,0.11166666666666666,78007,32.0,Hadera
6604,2011,0.08833333333333332,78007,32.0,Hadera
6604,2012,0.08666666666666667,78007,32.0,Hadera
6604,2013,0.10333333333333332,78007,32.0,Hadera
6604,2014,0.10833333333333334,78007,32.0,Hadera
6604,2015,0.1775,78007,32.0,Hadera
6604,2016,0.1375,78007,32.0,Hadera
6604,2017,0.1425,78007,32.0,Hadera
