UNIQ_ID,NAME,category,sub_category,X,Y,longtitude,latitude,stat_area_id,yeshuv,latlon
54450440,בית ספר - בן גוריון,school,elementary school,181916.2177,575383.5957,34.810329831386596,31.26953971249547,9000642.0,9000,"(31.26953971249547, 34.810329831386596)"
54448309,בית ספר - שקמים,school,elementary school,161408.5068,603624.8576,34.593354579416484,31.52339142326771,10312.0,1031,"(31.52339142326771, 34.593354579416484)"
64763939,בית ספר - שקמים מעוז,school,elementary school,161285.9086,604728.504,34.59199891305953,31.53333822794813,10315.0,1031,"(31.53333822794813, 34.59199891305953)"
54447717,"תיכון מ""מ חדש ע""ש א' ליהמן",school,high school,203343.7023,553165.3997,35.03567810531364,31.06964144356668,22007.0,2200,"(31.06964144356668, 35.03567810531364)"
54447940,חווה למדעי הסביבה והחקלאות,school,special school,202746.268,554040.5973,35.02940359832676,31.077526838001987,220012.0,2200,"(31.077526838001987, 35.02940359832676)"
54447045,בית ספר - הגבעה למדעים ואמנויות,school,elementary school,163599.318,580476.6141,34.61772058337897,31.314737976678963,312.0,31,"(31.314737976678963, 34.61772058337897)"
61240981,בית ספר - תיכון מקיף סלאם חדש,school,high school,194950.7837,579269.8525,34.94709927510993,31.304936921176015,13031.0,1303,"(31.304936921176015, 34.94709927510993)"
54451275,"בית ספר - חט""ב מיתרים",school,middle school,194474.5974,581812.076,34.94203378248131,31.327855080717477,12681.0,1268,"(31.327855080717477, 34.94203378248131)"
54447338,"בית ספר - אמי""ת",school,religious school,181022.3865,573763.7772,34.80100674131103,31.25490154483493,9000634.0,9000,"(31.25490154483493, 34.80100674131103)"
54451246,בית ספר - גאולים,school,elementary school,179265.3299,572168.213,34.782624465419666,31.24045202847709,9000612.0,9000,"(31.24045202847709, 34.782624465419666)"
54450724,"בית ספר - מ""מ לאומניות אפיק",school,elementary school,177838.1997,574495.4393,34.767547561044175,31.261391050209927,9000225.0,9000,"(31.261391050209927, 34.767547561044175)"
61240979,בית ספר - מקיף עמל א,school,high school,187184.2024,572796.3946,34.865727424517075,31.246363494064322,10543.0,1054,"(31.246363494064322, 34.865727424517075)"
54447014,"ת""ת גני שלהבת",school,elementary school,202681.1524,552386.0088,35.028748697699044,31.062602537241773,22002.0,2200,"(31.062602537241773, 35.028748697699044)"
54452641,"בית ספר יסודי ממ""ד בן עטר",school,religious school,203309.1852,553309.9959,35.03531411875234,31.070945138962717,22007.0,2200,"(31.070945138962717, 35.03531411875234)"
54452653,"בי""ס מ""מ עמי אסף",school,elementary school,202585.1389,552745.3786,35.02773672806847,31.065842460312385,22002.0,2200,"(31.065842460312385, 35.02773672806847)"
54449946,"בי""ס מ""מ נווה",school,elementary school,203566.9181,553917.01,35.03800519464396,31.076423547674136,22008.0,2200,"(31.076423547674136, 35.03800519464396)"
54451624,"בי""ס ניסוי אפיקים",school,elementary school,203510.5416,552307.7597,35.03743980496086,31.06190832523497,22005.0,2200,"(31.06190832523497, 35.03743980496086)"
54451730,בית ספר - עתיד אופקים,school,high school,163224.8332,581010.9601,34.61375663596497,31.319538991874882,312.0,31,"(31.319538991874882, 34.61375663596497)"
61240946,בית ספר - מקיף עתיד אלנור,school,elementary school,193097.3985,579378.3635,34.927628287492965,31.305875084335238,13031.0,1303,"(31.305875084335238, 34.927628287492965)"
54449450,בית ספר - נווה יעקוב,school,elementary school,161291.5372,592191.6628,34.59279407969982,31.42027701399437,2462.0,246,"(31.42027701399437, 34.59279407969982)"
54446775,"מקיף י""א ע""ש רבין",school,high school,177693.4114,574255.1705,34.766037436109855,31.259218913586174,9000225.0,9000,"(31.259218913586174, 34.766037436109855)"
54446716,בית ספר - משכן מאיר,school,religious school,180203.551,574336.608,34.79238783740425,31.260040593970647,9000132.0,9000,"(31.260040593970647, 34.79238783740425)"
54447850,"בית ספר - אור ע""ש זבולון המר",school,religious school,177545.9077,574082.7414,34.76449603389902,31.257658500934614,9000224.0,9000,"(31.257658500934614, 34.76449603389902)"
54446514,"בית ספר - מ""מ קהילתי להבים",school,elementary school,182682.269,586830.8243,34.817951842226556,31.372805201846127,12711.0,1271,"(31.372805201846127, 34.817951842226556)"
54446885,"בית ספר - מקיף ע""ש רגר",school,high school,177959.3519,571665.8257,34.768936709356,31.23587532000413,9000415.0,9000,"(31.23587532000413, 34.768936709356)"
54448234,"תל""ם תיכון של המכללה למינהל",school,high school,181127.7306,573388.1943,34.80212705332025,31.25151764897439,9000631.0,9000,"(31.25151764897439, 34.80212705332025)"
54450791,בית ספר - טוביה,school,elementary school,177205.1784,574695.4009,34.76089299101254,31.263171714010774,9000234.0,9000,"(31.263171714010774, 34.76089299101254)"
54450864,בית ספר - רימון,school,elementary school,177386.8945,574009.7215,34.76282967549358,31.25699421618148,9000224.0,9000,"(31.25699421618148, 34.76282967549358)"
54451339,בית ספר - שיקמים,school,elementary school,160897.0671,604293.3316,34.5879305561069,31.529394060058088,10316.0,1031,"(31.529394060058088, 34.5879305561069)"
54446895,בית ספר - נועם אורות,school,elementary school,160351.0248,591845.8884,34.58292381559994,31.417111088272645,2468.0,246,"(31.417111088272645, 34.58292381559994)"
54449257,בית ספר - נראה אור,school,religious school,161626.1626,593104.5454,34.596260010307404,31.42852652180605,2461.0,246,"(31.42852652180605, 34.596260010307404)"
54451875,בית ספר - נתיב יצחק,school,elementary school,161558.6889,592640.3339,34.5955774204883,31.424336698678328,2462.0,246,"(31.424336698678328, 34.5955774204883)"
